TurbineID,TurbineName,Country,Site,CapacityMW,CommissionDate
1,WT-IND-001,India,Tamil Nadu,3.4,2023-04-19
2,WT-IND-002,India,Gujarat,3.9,2023-11-17
3,WT-IND-003,India,Tamil Nadu,4.5,2018-08-24
4,WT-IND-004,India,Karnataka,4.1,2023-03-18
5,WT-IND-005,India,Gujarat,3.4,2018-11-17
6,WT-IND-006,India,Gujarat,4.4,2020-07-15
7,WT-IND-007,India,Karnataka,4.1,2022-05-29
8,WT-IND-008,India,Gujarat,3.0,2021-01-13
9,WT-IND-009,India,Tamil Nadu,2.6,2021-10-18
10,WT-IND-010,India,Karnataka,3.8,2023-09-01
11,WT-IND-011,India,Tamil Nadu,3.2,2023-03-11
12,WT-IND-012,India,Tamil Nadu,4.3,2024-08-23
13,WT-IND-013,India,Karnataka,2.9,2023-04-30
14,WT-IND-014,India,Gujarat,2.6,2021-03-12
15,WT-IND-015,India,Gujarat,3.9,2019-01-21
16,WT-IND-016,India,Karnataka,4.4,2023-02-05
17,WT-IND-017,India,Gujarat,3.2,2020-03-25
18,WT-IND-018,India,Tamil Nadu,2.9,2021-03-19
19,WT-IND-019,India,Gujarat,3.5,2018-11-21
20,WT-IND-020,India,Tamil Nadu,3.8,2019-07-22
21,WT-IND-021,India,Karnataka,4.2,2020-12-28
22,WT-IND-022,India,Gujarat,3.1,2022-10-17
23,WT-IND-023,India,Karnataka,4.1,2023-09-12
24,WT-IND-024,India,Karnataka,3.1,2020-08-26
25,WT-IND-025,India,Tamil Nadu,2.8,2022-09-03
26,WT-IND-026,India,Karnataka,2.5,2019-05-15
27,WT-IND-027,India,Karnataka,3.8,2023-05-22
28,WT-IND-028,India,Gujarat,4.1,2022-10-29
29,WT-IND-029,India,Gujarat,3.6,2021-02-21
30,WT-IND-030,India,Tamil Nadu,2.7,2018-12-16
31,WT-IND-031,India,Gujarat,3.4,2022-07-30
32,WT-IND-032,India,Karnataka,4.0,2021-11-14
33,WT-IND-033,India,Gujarat,3.6,2022-05-06
34,WT-IND-034,India,Tamil Nadu,3.1,2021-10-30
35,WT-IND-035,India,Gujarat,3.4,2018-03-19
36,WT-IND-036,India,Karnataka,3.3,2019-06-21
37,WT-IND-037,India,Karnataka,3.0,2023-11-04
38,WT-IND-038,India,Karnataka,3.1,2018-05-26
39,WT-IND-039,India,Karnataka,3.8,2020-01-04
40,WT-IND-040,India,Tamil Nadu,4.1,2021-10-24
41,WT-IND-041,India,Karnataka,3.3,2022-07-19
42,WT-IND-042,India,Gujarat,2.8,2023-07-29
43,WT-IND-043,India,Gujarat,2.7,2018-02-26
44,WT-IND-044,India,Karnataka,3.4,2022-12-11
45,WT-IND-045,India,Karnataka,3.5,2019-02-08
