DowntimeID,TurbineID,StartTime,EndTime,Reason
1,47,08-11-2025 04:00,08-11-2025 10:00,Sensor Fault
2,29,21-04-2025 02:00,21-04-2025 03:00,Scheduled Maintenance
3,24,02-08-2025 15:00,02-08-2025 23:00,Sensor Fault
4,8,25-12-2025 23:00,26-12-2025 10:00,Sensor Fault
5,60,09-01-2025 16:00,10-01-2025 01:00,Generator Failure
6,27,04-02-2025 04:00,04-02-2025 07:00,Gearbox Failure
7,89,24-12-2025 05:00,24-12-2025 11:00,Gearbox Failure
8,60,06-02-2025 07:00,06-02-2025 09:00,Blade Inspection
9,90,13-08-2025 02:00,13-08-2025 03:00,Sensor Fault
10,30,01-12-2025 17:00,02-12-2025 02:00,Sensor Fault
11,18,16-08-2025 20:00,16-08-2025 23:00,Generator Failure
12,20,30-07-2025 02:00,30-07-2025 04:00,Blade Inspection
13,104,06-06-2025 21:00,07-06-2025 02:00,Gearbox Failure
14,71,22-03-2025 04:00,22-03-2025 06:00,Scheduled Maintenance
15,81,26-10-2025 23:00,27-10-2025 02:00,Scheduled Maintenance
16,81,04-07-2025 00:00,04-07-2025 01:00,Gearbox Failure
17,46,02-08-2025 18:00,03-08-2025 05:00,Blade Inspection
18,70,24-09-2025 14:00,24-09-2025 22:00,Scheduled Maintenance
19,48,04-07-2025 00:00,04-07-2025 05:00,Sensor Fault
20,17,19-06-2025 06:00,19-06-2025 15:00,Scheduled Maintenance
21,120,08-10-2025 08:00,08-10-2025 12:00,Sensor Fault
22,28,01-11-2025 07:00,01-11-2025 11:00,Generator Failure
23,33,14-09-2025 18:00,15-09-2025 01:00,Generator Failure
24,84,06-04-2025 07:00,06-04-2025 10:00,Gearbox Failure
25,48,29-10-2025 13:00,29-10-2025 15:00,Sensor Fault
26,18,01-02-2025 19:00,01-02-2025 21:00,Scheduled Maintenance
27,134,26-12-2025 04:00,26-12-2025 07:00,Scheduled Maintenance
28,78,26-08-2025 05:00,26-08-2025 10:00,Gearbox Failure
29,105,12-06-2025 09:00,12-06-2025 18:00,Generator Failure
30,91,11-07-2025 18:00,12-07-2025 02:00,Scheduled Maintenance
31,90,15-09-2025 15:00,15-09-2025 19:00,Gearbox Failure
32,88,07-02-2025 03:00,07-02-2025 06:00,Generator Failure
33,115,23-08-2025 18:00,23-08-2025 23:00,Blade Inspection
34,50,24-07-2025 07:00,24-07-2025 10:00,Blade Inspection
35,109,26-03-2025 19:00,27-03-2025 06:00,Sensor Fault
36,54,18-07-2025 12:00,18-07-2025 16:00,Blade Inspection
37,48,23-10-2025 16:00,23-10-2025 17:00,Gearbox Failure
38,15,02-01-2025 03:00,02-01-2025 14:00,Blade Inspection
39,97,20-10-2025 06:00,20-10-2025 15:00,Sensor Fault
40,37,10-03-2025 05:00,10-03-2025 07:00,Generator Failure
41,149,23-05-2025 03:00,23-05-2025 04:00,Generator Failure
42,136,17-07-2025 05:00,17-07-2025 12:00,Gearbox Failure
