FaultID,TurbineID,FaultDate,FaultCode,Severity
1,98,2025-10-24,SNS205,Medium
2,77,2025-01-14,SNS205,High
3,14,2025-04-30,BLD301,Critical
4,144,2025-03-12,BRK501,Low
5,57,2025-11-25,BRK501,Medium
6,52,2025-12-24,GEN401,Medium
7,10,2025-10-22,SNS205,Low
8,71,2025-10-08,GEN401,Medium
9,29,2025-01-28,SNS205,Low
10,149,2025-03-29,BLD301,High
11,121,2025-08-20,BRK501,Critical
12,88,2025-01-11,GBX101,Critical
13,57,2025-12-12,BRK501,Critical
14,65,2025-01-28,SNS205,Critical
15,111,2025-07-07,BLD301,Low
16,21,2025-05-30,SNS205,High
17,3,2025-11-15,SNS205,Low
18,17,2025-11-14,SNS205,Critical
19,1,2025-05-21,GBX101,Medium
20,78,2025-11-21,GBX101,Medium
21,26,2025-02-28,GBX101,Low
22,123,2025-04-09,SNS205,Low
23,101,2025-01-24,BLD301,Low
24,135,2025-07-24,SNS205,Medium
25,64,2025-04-12,GBX101,Critical
26,18,2025-03-07,GEN401,High
27,12,2025-04-04,BLD301,High
28,87,2025-11-20,BRK501,Critical
29,119,2025-08-19,GBX101,High
30,65,2025-11-14,GEN401,Medium
31,91,2025-01-07,GEN401,Medium
32,68,2025-05-26,SNS205,Medium
33,87,2025-10-15,GBX101,Low
34,36,2025-05-04,BRK501,High
35,80,2025-12-12,BRK501,Low
36,113,2025-10-13,BLD301,Medium
37,135,2025-12-18,GEN401,Low
38,73,2025-10-27,BLD301,High
39,15,2025-10-21,BLD301,Critical
40,5,2025-11-15,BRK501,Critical
41,110,2025-11-15,GEN401,High
42,42,2025-02-09,GEN401,Medium
43,132,2025-06-07,GBX101,Low
44,131,2025-09-04,BLD301,Critical
45,57,2025-09-21,BRK501,Medium
46,101,2025-04-26,BLD301,High
47,89,2025-12-24,GEN401,Critical
48,110,2025-04-10,GBX101,Medium
49,8,2025-06-15,GEN401,High
50,120,2025-03-21,SNS205,Medium
51,85,2025-05-12,GEN401,Medium
52,41,2025-10-20,BRK501,Low
53,8,2025-12-25,SNS205,High
54,27,2025-06-16,GBX101,Low
55,55,2025-04-16,GBX101,High
56,40,2025-04-14,GBX101,Critical
57,134,2025-05-27,BRK501,Critical
58,9,2025-03-25,BRK501,Critical
59,39,2025-11-24,GEN401,Critical
60,143,2025-01-25,SNS205,Critical
61,9,2025-12-04,SNS205,Medium
62,92,2025-05-08,SNS205,High
63,17,2025-06-16,BRK501,Low
64,81,2025-06-20,BRK501,Low
65,13,2025-06-07,SNS205,Low
66,139,2025-11-23,BRK501,Medium
67,60,2025-09-07,BLD301,Low
68,64,2025-01-03,BLD301,High
69,70,2025-12-24,GEN401,Low
70,53,2025-06-12,GEN401,Critical
71,124,2025-09-25,BRK501,High
72,10,2025-06-23,GEN401,Critical
73,43,2025-01-10,GBX101,High
74,134,2025-01-01,BRK501,Low
75,93,2025-07-13,GBX101,Low
76,126,2025-02-23,BRK501,Critical
77,52,2025-03-02,BRK501,High
78,13,2025-01-13,SNS205,Critical
79,80,2025-06-17,BLD301,Critical
80,10,2025-12-16,BRK501,Critical
81,106,2025-02-03,BLD301,Critical
82,78,2025-07-05,GEN401,High
83,55,2025-11-13,BLD301,Critical
84,93,2025-11-20,SNS205,High
85,112,2025-01-07,SNS205,Medium
86,10,2025-07-06,GBX101,Medium
87,55,2025-03-22,BLD301,Medium
88,100,2025-06-14,GBX101,Critical
89,66,2025-01-20,GEN401,Critical
90,87,2025-04-27,BLD301,Medium
91,21,2025-12-18,GBX101,Low
92,115,2025-07-24,GBX101,Critical
93,129,2025-10-28,GEN401,Low
94,140,2025-09-18,GBX101,Medium
95,80,2025-12-23,BLD301,High
96,27,2025-03-25,BRK501,Critical
97,101,2025-06-30,BRK501,High
98,118,2025-12-20,BLD301,Critical
99,118,2025-03-28,GEN401,Medium
100,38,2025-02-17,BRK501,High
101,3,2025-04-13,GEN401,High
102,129,2025-11-27,BRK501,Low
103,26,2025-08-01,GEN401,Critical
104,60,2025-11-27,GBX101,High
105,147,2025-01-08,BRK501,Medium
106,138,2025-12-16,BRK501,Medium
107,47,2025-11-12,GEN401,Medium
108,92,2025-11-16,GBX101,High
109,81,2025-07-21,BLD301,Low
110,8,2025-10-01,BLD301,High
111,50,2025-09-04,BRK501,Critical
112,130,2025-09-16,GEN401,Critical
113,133,2025-10-14,GBX101,High
114,67,2025-11-13,BLD301,Low
115,6,2025-06-25,BRK501,Critical
116,95,2025-11-03,BRK501,Critical
117,116,2025-09-15,GEN401,Critical
118,145,2025-03-05,BRK501,Critical
119,9,2025-07-18,GEN401,Low
120,66,2025-08-21,BLD301,High
121,116,2025-03-18,BRK501,Critical
122,59,2025-02-21,GBX101,Critical
123,105,2025-09-17,GEN401,High
124,143,2025-04-29,BRK501,Critical
125,73,2025-07-31,SNS205,Critical
126,36,2025-07-30,BLD301,High
127,120,2025-09-07,GBX101,Critical
128,61,2025-10-22,GBX101,High
129,26,2025-10-21,BLD301,High
130,114,2025-12-28,GEN401,Medium
131,5,2025-01-31,BLD301,High
132,87,2025-07-29,BRK501,High
133,146,2025-11-18,GEN401,Low
134,45,2025-02-05,GEN401,High
135,49,2025-11-25,BLD301,High
136,64,2025-12-20,BLD301,Critical
137,123,2025-01-30,GBX101,Medium
138,150,2025-03-21,BLD301,High
139,46,2025-04-21,BRK501,Critical
140,113,2025-01-18,GBX101,Critical
141,22,2025-11-05,GBX101,Medium
142,145,2025-12-16,BLD301,Low
143,125,2025-10-09,GBX101,Low
144,14,2025-01-20,GBX101,High
145,132,2025-09-28,GBX101,High
146,11,2025-01-04,GBX101,Medium
147,58,2025-04-01,BLD301,High
148,6,2025-06-15,GEN401,Medium
149,57,2025-09-17,BLD301,High
150,136,2025-07-19,SNS205,Critical
151,31,2025-11-17,GEN401,High
152,102,2025-03-24,SNS205,Medium
153,80,2025-03-08,BLD301,Medium
154,39,2025-04-29,BLD301,Low
155,144,2025-12-26,BRK501,High
156,85,2025-12-24,BLD301,Critical
157,62,2025-12-05,BLD301,Medium
158,31,2025-04-18,GBX101,Low
159,145,2025-12-31,GEN401,Medium
160,91,2025-09-10,GBX101,Critical
161,98,2025-05-10,GEN401,Critical
162,47,2025-08-12,BRK501,High
163,23,2025-04-02,BLD301,Critical
164,96,2025-02-12,GBX101,High
165,80,2025-05-22,SNS205,Medium
166,20,2025-04-23,GBX101,Critical
167,140,2025-10-15,GBX101,Low
168,39,2025-05-29,GEN401,High
169,26,2025-04-08,SNS205,High
170,3,2025-08-18,GBX101,Low
171,44,2025-09-09,GEN401,Medium
172,124,2025-11-20,GEN401,Critical
173,62,2025-12-21,GBX101,High
174,121,2025-08-12,SNS205,Medium
