MaintenanceID,TurbineID,MaintenanceDate,MaintenanceType,Cost
1,101,2025-09-25,Corrective,3493.0
2,34,2025-03-29,Preventive,9469.25
3,118,2025-01-26,Preventive,5423.25
4,58,2025-08-13,Preventive,5408.88
5,40,2025-11-09,Corrective,6569.93
6,103,2025-04-10,Preventive,2543.89
7,132,2025-03-16,Preventive,1223.77
8,149,2025-06-10,Corrective,7029.86
9,50,2025-06-14,Preventive,4900.73
10,107,2025-02-02,Corrective,6821.81
11,19,2025-07-13,Preventive,9404.75
12,85,2025-04-23,Preventive,1503.29
13,57,2025-03-29,Corrective,8495.77
14,85,2025-04-14,Preventive,755.39
15,36,2025-11-03,Preventive,2257.5
16,47,2025-10-16,Preventive,989.08
17,87,2025-11-09,Corrective,1531.92
18,96,2025-07-26,Corrective,5749.92
19,46,2025-11-28,Preventive,1725.61
20,80,2025-11-04,Preventive,7818.76
21,52,2025-06-30,Corrective,9158.12
22,126,2025-02-15,Corrective,627.04
23,135,2025-10-09,Preventive,6104.2
24,76,2025-01-19,Preventive,7897.46
25,76,2025-02-13,Preventive,1127.61
26,132,2025-04-16,Corrective,5492.43
27,97,2025-02-13,Corrective,9433.06
28,125,2025-05-28,Corrective,1875.74
29,130,2025-02-08,Preventive,9016.86
30,61,2025-01-21,Preventive,6965.11
31,149,2025-10-25,Preventive,8230.27
32,68,2025-04-15,Preventive,935.46
33,86,2025-05-19,Preventive,5452.64
34,50,2025-01-21,Corrective,678.79
35,15,2025-03-11,Preventive,6907.78
36,126,2025-09-18,Corrective,5073.81
37,113,2025-03-25,Preventive,2753.64
38,3,2025-11-15,Corrective,5272.57
39,21,2025-05-21,Preventive,3753.71
40,41,2025-03-26,Corrective,7130.36
41,79,2025-03-03,Corrective,2505.02
42,145,2025-01-03,Corrective,4119.41
43,114,2025-12-06,Preventive,9282.26
44,56,2025-03-08,Preventive,1240.16
45,36,2025-11-26,Preventive,5642.69
46,57,2025-01-10,Corrective,8373.4
47,31,2025-06-23,Preventive,6347.92
48,114,2025-01-14,Corrective,5649.45
49,107,2025-12-11,Preventive,6593.34
50,54,2025-06-18,Corrective,4044.89
51,12,2025-06-08,Preventive,2325.97
52,39,2025-08-22,Preventive,1928.04
53,31,2025-10-28,Preventive,4277.77
54,93,2025-12-09,Corrective,7214.81
55,128,2025-09-05,Preventive,7515.5
56,85,2025-12-17,Corrective,1694.1
57,120,2025-07-14,Corrective,4025.34
58,108,2025-05-29,Corrective,1831.81
59,45,2025-09-30,Corrective,7940.48
60,106,2025-10-14,Preventive,4915.71
61,63,2025-05-04,Corrective,6770.26
62,145,2025-02-22,Preventive,9967.46
63,91,2025-06-01,Preventive,4184.5
64,18,2025-04-18,Preventive,6557.52
65,134,2025-02-01,Corrective,5970.75
66,130,2025-12-08,Corrective,9428.42
67,80,2025-08-22,Corrective,8559.3
68,48,2025-11-05,Preventive,3372.46
69,13,2025-10-24,Preventive,6616.57
70,29,2025-02-14,Preventive,7134.69
71,60,2025-03-28,Preventive,7410.93
72,77,2025-09-11,Preventive,8184.32
73,32,2025-09-09,Preventive,1351.76
74,134,2025-08-29,Preventive,6691.49
75,101,2025-10-20,Corrective,802.68
76,142,2025-11-24,Preventive,7583.61
77,108,2025-05-24,Preventive,2768.07
78,84,2025-07-11,Preventive,5351.07
79,79,2025-02-17,Preventive,6439.39
80,35,2025-08-02,Preventive,4685.37
81,135,2025-12-20,Corrective,1352.43
82,39,2025-03-12,Corrective,3989.83
83,16,2025-01-11,Corrective,7681.67
84,96,2025-11-12,Corrective,2083.81
85,143,2025-09-29,Preventive,5271.62
86,118,2025-12-08,Corrective,6851.46
87,61,2025-02-27,Preventive,1894.79
88,21,2025-02-16,Corrective,8874.45
89,145,2025-09-01,Preventive,8788.64
90,15,2025-10-14,Preventive,9853.43
91,83,2025-01-17,Preventive,8582.6
92,118,2025-10-18,Preventive,2672.84
93,127,2025-10-16,Preventive,7033.58
94,26,2025-12-28,Corrective,2378.81
95,111,2025-05-14,Preventive,7310.29
96,85,2025-05-14,Corrective,3483.62
97,16,2025-01-28,Corrective,5232.99
98,16,2025-12-18,Corrective,6374.55
99,122,2025-12-24,Preventive,4127.71
100,86,2025-02-26,Preventive,5933.55
101,146,2025-01-13,Preventive,9137.97
102,94,2025-11-14,Corrective,3374.54
103,142,2025-11-18,Preventive,1018.08
104,115,2025-09-02,Corrective,9382.02
