ProductionID,TurbineID,ProductionDate,WindSpeed,EnergyProducedMWh,AvailabilityPercent
1,1,2025-01-01,16.68,33.46,95.36
2,1,2025-01-02,12.71,105.76,94.63
3,1,2025-01-03,10.78,83.96,92.66
4,1,2025-01-04,7.1,67.79,94.17
5,1,2025-01-05,8.49,56.75,93.66
6,1,2025-01-06,9.91,57.95,96.86
7,1,2025-01-07,9.45,114.89,99.16
8,1,2025-01-08,12.21,52.84,95.35
9,1,2025-01-09,17.73,85.26,98.04
10,1,2025-01-10,12.99,83.29,92.88
11,1,2025-01-11,16.02,40.24,96.95
12,1,2025-01-12,17.91,33.21,96.14
13,1,2025-01-13,6.43,92.57,90.84
14,1,2025-01-14,19.04,33.74,99.59
15,1,2025-01-15,17.01,79.37,97.83
16,1,2025-01-16,16.93,114.6,92.53
17,1,2025-01-17,13.85,29.5,96.16
18,1,2025-01-18,7.57,76.5,95.72
19,1,2025-01-19,11.99,72.26,97.64
20,1,2025-01-20,16.99,69.22,96.0
21,1,2025-01-21,18.97,31.97,91.17
22,1,2025-01-22,6.32,85.79,94.19
23,1,2025-01-23,16.61,87.12,93.34
24,1,2025-01-24,18.48,96.25,92.71
25,1,2025-01-25,10.46,51.44,91.58
26,1,2025-01-26,7.22,113.61,94.38
27,1,2025-01-27,10.75,92.97,95.53
28,1,2025-01-28,19.04,98.03,94.79
29,1,2025-01-29,10.65,118.66,97.18
30,1,2025-01-30,19.27,31.85,98.51
31,1,2025-01-31,14.56,32.19,95.88
32,1,2025-02-01,15.29,21.23,94.54
33,1,2025-02-02,17.38,49.54,94.59
34,1,2025-02-03,11.63,50.19,99.18
35,1,2025-02-04,16.72,31.06,99.97
36,1,2025-02-05,18.19,48.39,98.37
37,1,2025-02-06,6.6,119.91,96.66
38,1,2025-02-07,14.75,29.04,98.97
39,1,2025-02-08,5.43,44.08,91.43
40,1,2025-02-09,16.65,39.82,99.11
41,1,2025-02-10,14.84,23.62,90.05
42,1,2025-02-11,5.77,80.59,98.01
43,1,2025-02-12,8.58,104.94,90.57
44,1,2025-02-13,17.01,112.78,97.72
45,1,2025-02-14,15.47,103.8,90.4
46,1,2025-02-15,8.03,32.49,95.05
47,1,2025-02-16,16.18,83.0,98.51
48,1,2025-02-17,7.33,93.46,91.93
49,1,2025-02-18,9.06,90.99,99.8
50,1,2025-02-19,14.17,25.45,96.16
51,1,2025-02-20,5.64,108.41,97.1
52,1,2025-02-21,7.6,29.17,91.84
53,1,2025-02-22,19.7,65.86,97.84
54,1,2025-02-23,14.55,77.24,91.45
55,1,2025-02-24,19.19,50.13,95.78
56,1,2025-02-25,15.5,84.92,99.41
57,1,2025-02-26,7.23,70.84,94.04
58,1,2025-02-27,12.11,31.92,91.34
59,1,2025-02-28,9.17,50.47,94.28
60,1,2025-03-01,14.16,83.46,94.12
61,1,2025-03-02,11.13,41.76,95.88
62,1,2025-03-03,9.76,23.61,94.18
63,1,2025-03-04,12.11,42.56,95.72
64,1,2025-03-05,13.49,90.2,96.48
65,1,2025-03-06,14.79,51.62,97.87
66,1,2025-03-07,13.24,63.14,96.26
67,1,2025-03-08,10.41,71.27,97.37
68,1,2025-03-09,18.3,112.11,95.04
69,1,2025-03-10,12.8,99.99,93.14
70,1,2025-03-11,17.56,69.41,91.16
71,1,2025-03-12,6.08,104.2,90.56
72,1,2025-03-13,9.21,53.41,91.73
73,1,2025-03-14,9.71,94.27,90.15
74,1,2025-03-15,17.41,105.65,93.72
75,1,2025-03-16,7.3,80.08,91.2
76,1,2025-03-17,10.47,115.84,99.95
77,1,2025-03-18,16.58,51.1,96.88
78,1,2025-03-19,15.58,58.78,96.41
79,1,2025-03-20,5.16,40.91,95.25
80,1,2025-03-21,7.46,36.59,98.36
81,1,2025-03-22,19.84,75.6,98.39
82,1,2025-03-23,19.85,34.16,94.48
83,1,2025-03-24,10.89,28.0,97.55
84,1,2025-03-25,11.51,66.93,91.51
85,1,2025-03-26,7.71,110.71,90.45
86,1,2025-03-27,8.49,49.21,94.9
87,1,2025-03-28,13.8,69.33,90.84
88,1,2025-03-29,8.66,104.36,96.38
89,1,2025-03-30,14.74,87.02,97.63
90,1,2025-03-31,5.87,56.66,95.4
91,1,2025-04-01,10.08,104.45,94.83
92,1,2025-04-02,16.53,105.2,95.05
93,1,2025-04-03,18.64,78.71,98.5
94,1,2025-04-04,10.11,69.88,95.31
95,1,2025-04-05,6.57,59.86,99.17
96,1,2025-04-06,14.46,37.75,93.39
97,1,2025-04-07,7.87,22.48,99.27
98,1,2025-04-08,11.72,50.75,95.98
99,1,2025-04-09,5.11,47.8,97.03
100,1,2025-04-10,14.51,118.18,96.2
101,1,2025-04-11,12.16,96.14,99.03
